chunk_id,combined_text,id,title,title_en,title_ja,year,season,type,rating,tags,char_tags,cast,studio,music_composer,music_style,music_mood_tags,music_instruments,mal_url,anidb_url,image_url,poster_url,synopsis
ani_016,Your Lie in April romance drama music tragedy,16,四月は君の嘘,Your Lie in April,四月は君の嘘,2014,fall,TV,8.66,drama|romance|music|school|tragedy,pianist|violinist|student|rival,Natsuki Hanae|Risa Taneda|Ayane Sakura,A-1 Pictures,Masaru Yokoyama,classical,beautiful|emotional|bittersweet,piano|violin|orchestra,https://myanimelist.net/anime/23273,https://anidb.net/anime/10795,https://cdn.myanimelist.net/images/anime/3/67177.jpg,https://cdn.myanimelist.net/images/anime/3/67177l.jpg,"Piano prodigy Kousei Arima hasn't been able to hear his own playing since his mother's death, retreating into a colorless world. When the vibrant violinist Kaori Miyazono bursts into his life and pulls him back on stage, their music-filled friendship reawakens his passion even as it is shadowed by an inevitable farewell."
ani_017,Clannad romance drama school emotional visual novel,17,CLANNAD,Clannad,CLANNAD,2007,fall,TV,8.0,drama|romance|slice of life|school|supernatural,delinquent|theater club|robot|girl,Yuichi Nakamura|Mai Nakahara|Ai Nonaka,Kyoto Animation,Jun Maeda,piano orchestral,melancholic|beautiful|nostalgic,piano|strings|synthesizer,https://myanimelist.net/anime/2167,https://anidb.net/anime/5219,https://cdn.myanimelist.net/images/anime/1299/110774.jpg,https://cdn.myanimelist.net/images/anime/1299/110774l.jpg,"High schooler Tomoya Okazaki, drifting aimlessly through life, befriends the quiet and lonely Nagisa Furukawa and helps her revive the school drama club. Their deepening relationship and encounters with other students lead Tomoya toward an emotional reckoning with family, responsibility, and the meaning of happiness."
ani_018,Spirited Away Studio Ghibli fantasy adventure movie,18,千と千尋の神隠し,Spirited Away,千と千尋の神隠し,2001,summer,Movie,8.76,fantasy|adventure|supernatural|family|coming of age,girl|spirit|witch|river god,Daveigh Chase|Suzanne Pleshette|Miyu Irino,Studio Ghibli,Joe Hisaishi,orchestral fantasy,magical|whimsical|emotional,piano|orchestra|woodwinds,https://myanimelist.net/anime/199,https://anidb.net/anime/1496,https://cdn.myanimelist.net/images/anime/6/79597.jpg,https://cdn.myanimelist.net/images/anime/6/79597l.jpg,"Ten-year-old Chihiro stumbles into a magical spirit world and must work in a bathhouse for spirits to survive and find a way to save her parents, who have been transformed into pigs. Her journey through this strange and wondrous world teaches her courage, empathy, and the importance of remembering who she truly is."
ani_019,Princess Mononoke Studio Ghibli historical fantasy ecology,19,もののけ姫,Princess Mononoke,もののけ姫,1997,summer,Movie,8.68,action|adventure|fantasy|historical|ecology,prince|wolf girl|forest god|iron town leader,Yoji Matsuda|Yuriko Ishida|Yuko Tanaka,Studio Ghibli,Joe Hisaishi,epic orchestral,epic|mystical|dramatic,orchestra|choir|flute,https://myanimelist.net/anime/164,https://anidb.net/anime/1172,https://cdn.myanimelist.net/images/anime/7/75919.jpg,https://cdn.myanimelist.net/images/anime/7/75919l.jpg,"In feudal Japan, a young man named Ashitaka is cursed after killing a demon boar-god and travels west to find answers, becoming caught in a war between the industrializing Iron Town and the forest gods led by the fierce wolf-raised Princess San. The film refuses easy answers as it explores humanity's destructive relationship with nature."
ani_020,Howls Moving Castle Studio Ghibli romance fantasy war,20,ハウルの動く城,Howl's Moving Castle,ハウルの動く城,2004,summer,Movie,8.66,fantasy|romance|adventure|magic|war,wizard|cursed girl|fire demon|witch,Chieko Baisho|Takuya Kimura|Akihiro Miwa,Studio Ghibli,Joe Hisaishi,waltz orchestral,whimsical|romantic|magical,piano|orchestra|accordion,https://myanimelist.net/anime/431,https://anidb.net/anime/2534,https://cdn.myanimelist.net/images/anime/5/45674.jpg,https://cdn.myanimelist.net/images/anime/5/45674l.jpg,"A young girl named Sophie is cursed by a witch to live in an old woman's body and finds shelter in the walking castle of the mysterious wizard Howl. As she works to break the curse, she uncovers the secrets of Howl's past and discovers her own courage and worth amid a backdrop of war."
ani_021,Bleach action supernatural shinigami soul reaper,21,ブリーチ,Bleach,ブリーチ,2004,fall,TV,7.82,action|adventure|supernatural|shounen|martial arts,soul reaper|quincy|hollow|shinigami,Masakazu Morita|Fumiko Orikasa|Hiroki Yasumoto,Pierrot,Shiro Sagisu,rock orchestral,intense|cool|emotional,electric guitar|orchestra|drums,https://myanimelist.net/anime/269,https://anidb.net/anime/2609,https://cdn.myanimelist.net/images/anime/3/40451.jpg,https://cdn.myanimelist.net/images/anime/3/40451l.jpg,"High schooler Ichigo Kurosaki gains the powers of a Soul Reaper from a dying girl and takes on her duty of guiding souls to the afterlife and fighting evil spirits. His new role pulls him into a vast spiritual world of competing factions, hidden betrayals, and increasingly powerful enemies."
ani_022,Code Geass mecha political thriller strategy,22,コードギアス 反逆のルルーシュ,Code Geass: Lelouch of the Rebellion,コードギアス 反逆のルルーシュ,2006,fall,TV,8.69,mecha|military|sci-fi|psychological|drama,strategist|knight|rebellion leader|princess,Jun Fukuyama|Takahiro Sakurai|Ami Koshimizu,Sunrise,Kotaro Nakagawa,dramatic orchestral,epic|intense|emotional,orchestra|choir|piano,https://myanimelist.net/anime/1575,https://anidb.net/anime/4978,https://cdn.myanimelist.net/images/anime/5/50331.jpg,https://cdn.myanimelist.net/images/anime/5/50331l.jpg,"Exiled prince Lelouch vi Britannia obtains the power of Geass, which lets him command anyone to obey, and uses it to lead a rebellion against the oppressive Britannian Empire under the masked persona Zero. His strategic genius and ruthless idealism spiral into a tragic conflict of loyalty, sacrifice, and the cost of revolution."
ani_023,Gurren Lagann mecha action epic coming of age,23,天元突破グレンラガン,Tengen Toppa Gurren Lagann,天元突破グレンラガン,2007,spring,TV,8.64,mecha|action|sci-fi|adventure|comedy,digger|hotblooded pilot|sniper|anti-spiral,Tetsuya Kakihara|Marina Inoue|Katsuyuki Konishi,Gainax,Taku Iwasaki,rock orchestral,epic|exciting|emotional,electric guitar|orchestra|drums,https://myanimelist.net/anime/2001,https://anidb.net/anime/5170,https://cdn.myanimelist.net/images/anime/4/5123.jpg,https://cdn.myanimelist.net/images/anime/4/5123l.jpg,"In a future where humans live underground, young Simon and the boisterous Kamina escape to the surface and join a war against beastmen oppressors using spiral-powered mechs called Gunmen. What begins as a battle for freedom escalates into a cosmic struggle for the very fate of the universe driven by the power of fighting spirit."
ani_024,Fairy Tail magic adventure guild friendship shounen,24,フェアリーテイル,Fairy Tail,フェアリーテイル,2009,fall,TV,7.97,action|adventure|fantasy|comedy|shounen,dragon slayer|celestial mage|ice wizard|guild master,Tetsuya Kakihara|Aya Hirano|Yuichi Nakamura,A-1 Pictures,Yasuharu Takanashi,adventure fantasy,fun|epic|emotional,orchestra|electric guitar|choir,https://myanimelist.net/anime/6702,https://anidb.net/anime/6430,https://cdn.myanimelist.net/images/anime/1375/79063.jpg,https://cdn.myanimelist.net/images/anime/1375/79063l.jpg,"Young wizard Natsu Dragneel and his friends in the chaotic Fairy Tail guild take on magical jobs, battle dark guilds, and go on wild adventures across the kingdom of Fiore. Friendship, loyalty, and the bonds of the guild are tested in ever-escalating conflicts against powerful enemies."
ani_025,No Game No Life isekai strategy game comedy,25,ノーゲーム・ノーライフ,No Game No Life,ノーゲーム・ノーライフ,2014,spring,TV,8.07,isekai|fantasy|game|comedy|ecchi,genius gamer|sibling|flugel|king,Yoshitsugu Matsuoka|Ai Kayano|Yoko Hikasa,Madhouse,Masaru Yokoyama,game electronic,fun|exciting|upbeat,synthesizer|orchestra|electric guitar,https://myanimelist.net/anime/19815,https://anidb.net/anime/10719,https://cdn.myanimelist.net/images/anime/5/65187.jpg,https://cdn.myanimelist.net/images/anime/5/65187l.jpg,"Genius siblings Sora and Shiro, who are undefeated at every game online, are summoned to a world where all conflict is decided by games. To return home and conquer this world, the duo must use their extraordinary intellect to defeat its god and every nation along the way."
ani_026,Overlord dark isekai fantasy game RPG undead,26,オーバーロード,Overlord,オーバーロード,2015,summer,TV,7.9,isekai|fantasy|game|dark|supernatural,undead overlord|dark warrior|maid|floor guardian,Satoshi Hino|Yumi Hara|Sumire Uesaka,Madhouse,Shuji Katayama,dark orchestral,epic|dark|grandiose,orchestra|choir|organ,https://myanimelist.net/anime/29803,https://anidb.net/anime/11305,https://cdn.myanimelist.net/images/anime/7/88019.jpg,https://cdn.myanimelist.net/images/anime/7/88019l.jpg,"When the powerful wizard Ainz Ooal Gown finds himself trapped in the fantasy world of his favorite game with no way home, he decides to take it over using his guild's vast resources and his own overwhelming magical power. The series follows his methodical domination of the world from the perspective of a surprisingly thoughtful undead overlord."
ani_027,Made in Abyss dark fantasy adventure mystery child,27,メイドインアビス,Made in Abyss,メイドインアビス,2017,summer,TV,8.69,adventure|dark fantasy|mystery|sci-fi|drama,cave raider|robot boy|whistle|abyss creature,Miyu Tomita|Mariya Ise|Shiori Izawa,Kinema Citrus,Kevin Penkin,ethereal orchestral,mysterious|beautiful|haunting,orchestra|choir|synth,https://myanimelist.net/anime/34599,https://anidb.net/anime/13365,https://cdn.myanimelist.net/images/anime/6/86733.jpg,https://cdn.myanimelist.net/images/anime/6/86733l.jpg,"Young adventurer Riko descends into the Abyss — a massive chasm filled with wonders and lethal curses — to find her missing mother, accompanied by a robot boy named Reg who may hold secrets about the Abyss itself. The deeper they go, the more harrowing and irreversible the dangers become."
ani_028,Vinland Saga historical action Viking drama revenge,28,ヴィンランド・サガ,Vinland Saga,ヴィンランド・サガ,2019,summer,TV,8.72,action|adventure|historical|drama|seinen,viking warrior|slave|mercenary|king,Yuuto Uemura|Naoya Uchida|Kengo Kawanishi,Wit Studio,Yutaka Yamada,nordic orchestral,epic|melancholic|intense,orchestra|nordic instruments|choir,https://myanimelist.net/anime/37521,https://anidb.net/anime/14655,https://cdn.myanimelist.net/images/anime/1500/103005.jpg,https://cdn.myanimelist.net/images/anime/1500/103005l.jpg,"Young Thorfinn grows up on the battlefield seeking revenge against the Viking warrior Askeladd, who killed his pacifist father. Set during the Viking Age and English conquest of Scandinavia, the series evolves from a brutal revenge story into a profound meditation on violence, purpose, and what it truly means to be a warrior."
ani_029,Mob Psycho 100 supernatural psychic comedy slice of life,29,モブサイコ100,Mob Psycho 100,モブサイコ100,2016,summer,TV,8.44,action|supernatural|comedy|slice of life|psychological,esper|con artist|bodybuilder|evil spirit,Setsuo Ito|Takahiro Sakurai|Akio Ohtsuka,Bones,Kenji Kawai,alternative rock,intense|quirky|emotional,electric guitar|drums|orchestra,https://myanimelist.net/anime/32182,https://anidb.net/anime/12079,https://cdn.myanimelist.net/images/anime/7/88019.jpg,https://cdn.myanimelist.net/images/anime/7/88019l.jpg,"Mob is a middle schooler with overwhelming psychic powers he keeps suppressed to lead a normal life, working under the con-man exorcist Reigen. As Mob's emotional repression reaches a breaking point, the series explores what it means to grow up, find one's identity, and use power with restraint."
ani_030,One Punch Man superhero comedy action parody,30,ワンパンマン,One Punch Man,ワンパンマン,2015,fall,TV,8.52,action|comedy|parody|sci-fi|superhero,overpowered hero|cyborg|c-class hero|villain,Makoto Furukawa|Kaito Ishikawa|Aoi Yuuki,Madhouse,Makoto Miyazaki,rock orchestral,epic|fun|intense,electric guitar|orchestra|drums,https://myanimelist.net/anime/30276,https://anidb.net/anime/11679,https://cdn.myanimelist.net/images/anime/12/76049.jpg,https://cdn.myanimelist.net/images/anime/12/76049l.jpg,Saitama became a hero for fun and trained so hard he can defeat any enemy with a single punch — but invincibility has left him bored and unfulfilled. The series satirizes the superhero genre while following his deadpan adventures in a world full of monsters and overpowered heroes.
ani_031,Black Clover magic fantasy action adventure isekai-like,31,ブラッククローバー,Black Clover,ブラッククローバー,2017,fall,TV,8.12,action|fantasy|magic|comedy|shounen,magic knight|anti-magic user|noble|elf,Gakuto Kajiwara|Nobunaga Shimazaki|Nobuhiko Okamoto,Pierrot,Minako Seki,rock fantasy,energetic|epic|fun,electric guitar|orchestra|drums,https://myanimelist.net/anime/34572,https://anidb.net/anime/13477,https://cdn.myanimelist.net/images/anime/6/85441.jpg,https://cdn.myanimelist.net/images/anime/6/85441l.jpg,"Born without magic in a world where magic is everything, Asta dreams of becoming the Wizard King and trains his body to its limits while seeking a different path to power. Alongside his rival Yuno, he joins the Black Bulls magic knight squad in a kingdom full of hidden corruption and powerful demons."
ani_032,Food Wars cooking competition action school ecchi,32,食戟のソーマ,Food Wars! Shokugeki no Soma,食戟のソーマ,2015,spring,TV,8.14,action|cooking|school|ecchi|shounen,chef|cooking prodigy|elite ten|transfer student,Yoshitsugu Matsuoka|Minami Takahashi|Risa Taneda,J.C. Staff,Tatsuya Kato,energetic jazz,exciting|fun|intense,brass|drums|bass,https://myanimelist.net/anime/28171,https://anidb.net/anime/11140,https://cdn.myanimelist.net/images/anime/9/68439.jpg,https://cdn.myanimelist.net/images/anime/9/68439l.jpg,"Soma Yukihira enrolls in the elite Totsuki Culinary Academy where students battle in high-stakes food competitions called Shokugeki. Using creativity, technical mastery, and sheer willpower, Soma aims to reach the top of the school and surpass his master chef father."
ani_033,Erased mystery thriller time travel school,33,僕だけがいない街,Erased,僕だけがいない街,2016,winter,TV,8.32,mystery|thriller|drama|supernatural|school,manga artist|revival user|classmate|serial killer,Shinnosuke Mitsushima|Aoi Yuuki|Minami Takahashi,A-1 Pictures,Yuki Kajiura,atmospheric,mysterious|emotional|tense,piano|strings|synthesizer,https://myanimelist.net/anime/31043,https://anidb.net/anime/11803,https://cdn.myanimelist.net/images/anime/5/75810.jpg,https://cdn.myanimelist.net/images/anime/5/75810l.jpg,"Satoru Fujinuma has a mysterious ability called Revival that sends him back in time moments before tragedies occur — until he is suddenly sent back 18 years to prevent the childhood murder that is connected to a string of killings threatening his present. A tightly woven thriller about memory, responsibility, and saving those who cannot save themselves."
ani_034,Toradora romance comedy school tsundere slice of life,34,とらドラ！,Toradora!,とらドラ！,2008,fall,TV,8.23,romance|comedy|school|slice of life|drama,tsundere|delinquent-looking|childhood friend|school idol,Rie Kugimiya|Junji Majima|Eri Kitamura,J.C. Staff,Yukari Hashimoto,pop orchestral,cute|fun|emotional,piano|guitar|strings,https://myanimelist.net/anime/4224,https://anidb.net/anime/6033,https://cdn.myanimelist.net/images/anime/13/22128.jpg,https://cdn.myanimelist.net/images/anime/13/22128l.jpg,"When clumsy, hot-tempered Taiga Aisaka and gentle Ryuuji Takasu team up to help each other win over their respective crushes, an unexpected friendship turns into something more. Set against the warm backdrop of high school life, it's a witty and heartfelt romantic comedy about growing up and learning to reach for your own happiness."
ani_035,Anohana drama friendship ghost supernatural emotional,35,あの日見た花の名前を僕達はまだ知らない。,Anohana: The Flower We Saw That Day,あの日見た花の名前を僕達はまだ知らない。,2011,spring,TV,8.37,drama|slice of life|supernatural|romance|friendship,ghost|childhood friend|otaku|hikikomori,Miyu Irino|Ai Kayano|Haruka Tomatsu,A-1 Pictures,REMEDIOS,acoustic emotional,melancholic|beautiful|nostalgic,guitar|piano|strings,https://myanimelist.net/anime/9989,https://anidb.net/anime/8262,https://cdn.myanimelist.net/images/anime/1004/100488.jpg,https://cdn.myanimelist.net/images/anime/1004/100488l.jpg,"Years after their childhood friend Meiko ""Menma"" Honma died, the members of a friend group have drifted apart — until Menma's ghost appears to Jintan asking him to fulfill her forgotten wish. The series tenderly explores grief, guilt, and the complicated ways people struggle to move on from loss."
ani_036,Danganronpa killing game mystery psychological thriller,36,ダンガンロンパ 希望の学園と絶望の高校生,Danganronpa: The Animation,ダンガンロンパ 希望の学園と絶望の高校生,2013,summer,TV,6.9,mystery|psychological|thriller|school|horror,ultimate lucky student|teddy bear|designer|detective,Megumi Ogata|Nobuyo Oyama|Youko Hikasa,Lerche,Masafumi Takada,electro pop,unsettling|quirky|intense,synthesizer|electric guitar|drums,https://myanimelist.net/anime/14833,https://anidb.net/anime/9823,https://cdn.myanimelist.net/images/anime/3/51750.jpg,https://cdn.myanimelist.net/images/anime/3/51750l.jpg,"Fifteen high school students wake up in Hope's Peak Academy and are forced to participate in a mutual killing game orchestrated by the sadistic bear Monokuma, where the only way out is to commit murder without being caught. Adapted from the game, it blends courtroom mystery with dark psychological thriller."
